code,name,title,avatar_url,description
10,Alvin Lee,AKitchen 创始人，料理讲师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/November2017/alvin头像100.png,家庭料理讲师，食物摄影师
12,Edward,资深西餐老师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/October2017/edward1200.jpg,资深西餐老师，擅长法式意式餐食制作
14,沈敏,资深中餐大厨,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/October2017/shenmin1200.,近三十余年餐饮工作经验，专攻国宴菜肴并享有极佳的口碑和好评，曾在中国会、万豪等任厨师长、行政总厨
15,美厨教主,烹饪节目策划人、料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/October2017/1641812459.jpg,烹饪节目策划人、料理达人，擅长各国美食料理
23,油油,饮品研究人 / 面粉玩家,http://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/January2018/ByWeVn9cIS9jj9efT2WX.jpg,饮品研究人 / 面粉玩家
30,Selina,云南和融合菜式料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/January2018/P9I2i21P91JB1pVfLccn.jpeg,
52,盒马鲜生,有盒马，购新鲜,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/December2017/盒马鲜生.jpg,好好吃饭，用心生活
53,Riccardo Messina,意大利名厨，The Lab 工作室创始人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/December2017/Riccardo Messina.jpg,前意大利科摩湖米其林二星餐厅 Villa Serbelloni 主厨、意大利连锁餐厅沙华多利行政主厨。为雍福会等餐饮品牌提供菜品研发服务
59,Lucky Lasagna,意大利名厨，The Lab 主厨,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/December2017/ERTH28w8Vbi0FI5C9a2g.jpg,来自意大利，菜品常有意想不到的惊喜。曾任上海 black Bird 西餐厅主厨、The Press 西餐厅主厨、The Fat Olive 西餐厅酒吧行政主厨
80,石橋建児,法餐厅主理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/January2018/qVQe8Ge0XssG7iDB9B5O.jpg,法餐厅主理人，擅长传统法式料理与和风西餐。曾任职于Mardi Gras、HOTEL DE MIKUNI等多家法国米其林餐厅
